~VERSION,INFORMATION,,,,,
VERS.,2,:CWLS,LOG,ASCII,STANDARD--VERSION,2
WRAP.,YES,:MULTIPLE,LINE,PER,DEPTH,STEP
~WELL,INFORMATION,,,,,
#MNEM.UNIT,DATA,DESCRIPTION,,,,
#================================================,,,,,,
STRT.F,10000,:START,DEPTH,,,
STOP.F,11856,:STOP,DEPTH,,,
STEP.F,0.5,:STEP,,,,
NULL.,-999,:NULL,VALUE,,,
WELL.,X-5,:,WELL,NAME,,
UWI.,Well,X-5,:,WELL,UWI,
API.,Well,X-5,:,WELL,API,
LOC.,UKCS,:,WELL,LOCATION,,
DATE.,1994,:,WELL,DATE,,
FLD.,Xf,:,Project,Name,,
~CURVE,INFORMATION,,,
#================================================,,,,
DEPTH,.ft,:DEPTH,,
GR,.GAPI,:GR,,
DENS.g/cc,:DENS,,,
SONI.us/f,:SONI,,,
CNL,.por%,:CNL,,
MSFL.ohmm,:MSFL,,,
LL9S.ohmm,:LL9S,,,
LL9D.ohmm,:LL9D,,,
CALI.in,:CALI,,,
DI,.in,:DI,,
RT,.ohmm,:RT,,
RX0,.ohmm,:RX0,,
TVD,.ft,:TVD,,
Y,DEV,.ft,:Y,DEV
X,DEV,.ft,:X,DEV,,,,,
ALPHA,.UNKN,:ALPHA,,,,,,,
KH,.UNKN,:KH,,,,,,,
KV,.UNKN,:KV,,,,,,,
CPOR.UNKN,:CPOR,,,,,,,,
GD,.UNKN,:GD,,,,,,,
~PARAMETERS,INFORMATION,,,,,,,,
#================================================,,,,,,,,,
ELEV.ft,78,:,TLOG,CONSTANT,-,4,-,ELEVATION,
RMC,.ohmm,3,:,TLOG,CONSTANT,-,5,-,RMC
TRMC.degF,75,:,TLOG,CONSTANT,-,6,-,TRMC,
RM,.ohmm,3,:,TLOG,CONSTANT,-,7,-,RM
TRM,.degF,75,:,TLOG,CONSTANT,-,8,-,TRM
RMF,.ohmm,3,:,TLOG,CONSTANT,-,9,-,RMF
TRMF.degF,75,:,TLOG,CONSTANT,-,10,-,TRMF,
RW,.ohmm,3,:,TLOG,CONSTANT,-,11,-,RW
TRW,.degF,75,:,TLOG,CONSTANT,-,12,-,TRW,,
BHT,.degF,120,:,TLOG,CONSTANT,-,13,-,BHT,,
MEAN.degF,75,:,TLOG,CONSTANT,-,14,-,MEAN,SURF,TEMP,
ARCH.UNKN,1,:,TLOG,CONSTANT,-,16,-,ARCHIE,A,,
ARCH.UNKN,2,:,TLOG,CONSTANT,-,17,-,ARCHIE,M,,
SAT,.UNKN,2,:,TLOG,CONSTANT,-,18,-,SAT,EXP,(N)
R,SH.ohmm,9,:,TLOG,CONSTANT,-,19,-,R,SHALE,
TD,.ft,5000,:,TLOG,CONSTANT,-,20,-,TD,,
CALI.UNKN,18,:,TLOG,CONSTANT,-,23,-,CALIPER,CHANNEL,,
BIT,.in,8,:,TLOG,CONSTANT,-,24,-,BIT,SIZE,(IN)
MUD,.lb/g,8,:,TLOG,CONSTANT,-,25,-,MUD,WEIGHT(#/GL),
FM,S.ppm,0,:,TLOG,CONSTANT,-,26,-,FM,SALINITY(PPM),
BH,S.ppm,0,:,TLOG,CONSTANT,-,27,-,BH,SALINITY(PPM),
STAN.in,0,:,TLOG,CONSTANT,-,28,-,STANDOFF,(IL),,
STAN.in,0,:,TLOG,CONSTANT,-,29,-,STANDOFF,(NEUT),,
O_D_.in,7,:,TLOG,CONSTANT,-,30,-,O.D.,CASING(IN),,
WT_,.lb/f,20,:,TLOG,CONSTANT,-,31,-,WT.,CASING(#/FT),
TYPE.UNKN,0,:,TLOG,CONSTANT,-,32,-,TYPE,OF,MUD,
AUTO.UNKN,0,:,TLOG,CONSTANT,-,33,-,AUTO,CALI,CORR,
GR,M.GAPI,20,:,TLOG,CONSTANT,-,61,-,GR,MATRIX,
RHO,.g/cc,2.71,:,TLOG,CONSTANT,-,62,-,RHO,MATRIX,
DT,M.us/f,47.5,:,TLOG,CONSTANT,-,63,-,DT,MATRIX,
CNL,.pu,0,:,TLOG,CONSTANT,-,64,-,CNL,MATRIX,
GR,S.GAPI,120,:,TLOG,CONSTANT,-,65,-,GR,SHALE,
RHO,.g/cc,2.4,:,TLOG,CONSTANT,-,66,-,RHO,SHALE,
DT,S.us/f,100,:,TLOG,CONSTANT,-,67,-,DT,SHALE,
CNL,.pu,0.3,:,TLOG,CONSTANT,-,68,-,CNL,SHALE,
GR,F.GAPI,20,:,TLOG,CONSTANT,-,69,-,GR,FLUID,
RHO,.g/cc,1,:,TLOG,CONSTANT,-,70,-,RHO,FLUID,
DT,F.us/f,189,:,TLOG,CONSTANT,-,71,-,DT,FLUID,
CNL,.pu,1,:,TLOG,CONSTANT,-,72,-,CNL,FLUID,
DT,M.us/f,82,:,TLOG,CONSTANT,-,73,-,DT,MATRIX,SHALE


,10000,50.724,2.438,109.275,28.22,-999,-999,-999,20.546,-999,-999,-999,9431.16797,23.28503,24.5329,33.35952,-999,-999,-999,-999
,10000.5,48.364,2.438,108.487,28.22,-999,-999,-999,20.546,-999,-999,-999,9431.63867,23.40206,24.65393,33.5253,-999,-999,-999,-999
,10001,47.578,2.438,107.7,28.22,-999,-999,-999,20.546,-999,-999,-999,9432.10938,23.51911,24.77492,33.69106,-999,-999,-999,-999
,10001.5,48.291,2.438,109.275,28.22,-999,-999,-999,20.546,-999,-999,-999,9432.58105,23.63619,24.89587,33.85681,-999,-999,-999,-999
,10002,49.155,2.438,109.275,28.22,-999,-999,-999,20.546,-999,-999,-999,9433.05176,23.75329,25.01679,34.02253,-999,-999,-999,-999
,10002.5,50.732,2.438,110.85,28.22,-999,-999,-999,20.546,-999,-999,-999,9433.52246,23.87042,25.13767,34.18824,-999,-999,-999,-999
,10003,51.52,2.438,111.756,28.22,-999,-999,-999,20.546,-999,-999,-999,9433.99316,23.98758,25.25851,34.35394,-999,-999,-999,-999
,10003.5,50.734,2.438,113.213,28.22,-999,-999,-999,20.546,-999,-999,-999,9434.46387,24.10475,25.37931,34.51961,-999,-999,-999,-999
,10004,49.579,2.438,114.787,28.22,-999,-999,-999,20.546,-999,-999,-999,9434.93457,24.22195,25.50007,34.68526,-999,-999,-999,-999
,10004.5,49.161,2.438,114,28.22,-999,-999,-999,20.546,-999,-999,-999,9435.40527,24.33918,25.6208,34.8509,-999,-999,-999,-999
,10005,49.936,2.438,112.769,28.22,-999,-999,-999,20.546,-999,-999,-999,9435.87598,24.45643,25.74149,35.01652,-999,-999,-999,-999
,10005.5,51.527,2.438,111.637,28.22,-999,-999,-999,20.546,-999,-999,-999,9436.34766,24.57371,25.86213,35.18212,-999,-999,-999,-999
,10006,52.316,2.438,110.062,28.22,-999,-999,-999,20.546,-999,-999,-999,9436.81836,24.69101,25.98275,35.34771,-999,-999,-999,-999
,10006.5,51.883,2.438,112.153,28.22,-999,-999,-999,20.546,-999,-999,-999,9437.28906,24.80833,26.10332,35.51328,-999,-999,-999,-999
,10007,50.744,2.438,114,28.22,-999,-999,-999,20.546,-999,-999,-999,9437.75977,24.92568,26.22385,35.67882,-999,-999,-999,-999
,10007.5,50.745,2.438,115.575,28.22,-999,-999,-999,20.546,-999,-999,-999,9438.23047,25.04305,26.34435,35.84435,-999,-999,-999,-999
,10008,50.746,2.438,114,28.22,-999,-999,-999,20.546,-999,-999,-999,9438.70117,25.16045,26.46481,36.00986,-999,-999,-999,-999
,10008.5,51.535,2.438,110.85,28.22,-999,-999,-999,20.546,-999,-999,-999,9439.17188,25.27787,26.58523,36.17536,-999,-999,-999,-999
,10009,51.536,2.438,110.02,28.22,-999,-999,-999,20.546,-999,-999,-999,9439.64355,25.39532,26.70561,36.34084,-999,-999,-999,-999
,10009.5,49.175,2.438,109.275,28.22,-999,-999,-999,20.546,-999,-999,-999,9440.11426,25.51279,26.82596,36.50629,-999,-999,-999,-999
,10010,47.843,2.438,109.275,28.22,-999,-999,-999,20.546,-999,-999,-999,9440.58496,25.63028,26.94626,36.67174,-999,-999,-999,-999
,10010.5,46.028,2.438,112.425,28.22,-999,-999,-999,20.546,-999,-999,-999,9441.05566,25.7478,27.06653,36.83716,-999,-999,-999,-999
,10011,44.454,2.438,110.062,28.22,-999,-999,-999,20.546,-999,-999,-999,9441.52637,25.86535,27.18676,37.00256,-999,-999,-999,-999
,10011.5,42.88,2.438,107.525,28.22,-999,-999,-999,20.546,-999,-999,-999,9441.99805,25.98291,27.30695,37.16795,-999,-999,-999,-999
,10012,42.094,2.438,103.369,28.22,-999,-999,-999,20.546,-999,-999,-999,9442.46875,26.1005,27.42711,37.33332,-999,-999,-999,-999
,10012.5,42.095,2.438,94.312,28.22,-999,-999,-999,20.546,-999,-999,-999,9442.93945,26.21812,27.54722,37.49867,-999,-999,-999,-999
,10013,41.31,2.438,86.175,28.22,-999,-999,-999,20.546,-999,-999,-999,9443.41016,26.33576,27.6673,37.664,-999,-999,-999,-999
,10013.5,41.78,2.438,84.075,28.22,-999,-999,-999,20.546,-999,-999,-999,9443.88086,26.45343,27.78734,37.82932,-999,-999,-999,-999
,10014,42.887,2.438,91.162,28.22,-999,-999,-999,20.546,-999,-999,-999,9444.35156,26.57112,27.90734,37.99461,-999,-999,-999,-999
,10014.5,45.785,2.438,98.25,28.22,-999,-999,-999,20.546,-999,-999,-999,9444.82324,26.68883,28.0273,38.15989,-999,-999,-999,-999
,10015,47.614,2.438,106.125,28.22,-999,-999,-999,20.546,-999,-999,-999,9445.29395,26.80657,28.14723,38.32515,-999,-999,-999,-999
